SiteCode,SiteName,UnitCode,SubUnitCode,EventDate,SiteType,Project,QCtype,SampleDepth_m,Parameter,Value,ValueFlag,FlagComments
ACBUBL,Bubble Pond,ACAD,NA,8/17/2010,Lake,NETN_LS,0,0.518,DO_mgL,8.305,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/17/2010,Lake,NETN_LS,0,0.518,DOsat_pct,95.35,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/17/2010,Lake,NETN_LS,0,0.518,SpCond_uScm,31,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/17/2010,Lake,NETN_LS,0,0.518,Temp_C,22.195,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/17/2010,Lake,NETN_LS,0,0.518,Temp_F,71.951,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/17/2010,Lake,NETN_LS,0,0.518,pH,6.72,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/27/2010,Lake,NETN_LS,0,0.52,DO_mgL,9.205,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/27/2010,Lake,NETN_LS,0,0.52,DOsat_pct,94.1,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/27/2010,Lake,NETN_LS,0,0.52,SpCond_uScm,30,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/27/2010,Lake,NETN_LS,0,0.52,Temp_C,16.435,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/27/2010,Lake,NETN_LS,0,0.52,Temp_F,61.583,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/27/2010,Lake,NETN_LS,0,0.52,pH,6.745,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/14/2010,Lake,NETN+ACID,0,0.023,DO_mgL,10.03,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/14/2010,Lake,NETN+ACID,0,0.023,DOsat_pct,93.2,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/14/2010,Lake,NETN+ACID,0,0.023,SpCond_uScm,30,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/14/2010,Lake,NETN+ACID,0,0.023,Temp_C,12.07,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/14/2010,Lake,NETN+ACID,0,0.023,Temp_F,53.726,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/14/2010,Lake,NETN+ACID,0,0.023,pH,6.32,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/2/2011,Lake,NETN_LS,0,0.5175,DO_mgL,11.595,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/2/2011,Lake,NETN_LS,0,0.5175,DOsat_pct,103.2,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/2/2011,Lake,NETN_LS,0,0.5175,SpCond_uScm,29,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/2/2011,Lake,NETN_LS,0,0.5175,Temp_C,10.21,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/2/2011,Lake,NETN_LS,0,0.5175,Temp_F,50.378,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/2/2011,Lake,NETN_LS,0,0.5175,pH,6.51,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/23/2011,Lake,NETN_LS,0,0.5085,DO_mgL,9.24,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/23/2011,Lake,NETN_LS,0,0.5085,DOsat_pct,98.55,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/23/2011,Lake,NETN_LS,0,0.5085,SpCond_uScm,30,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/23/2011,Lake,NETN_LS,0,0.5085,Temp_C,18.475,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/23/2011,Lake,NETN_LS,0,0.5085,Temp_F,65.255,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/23/2011,Lake,NETN_LS,0,0.5085,pH,6.61,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/27/2011,Lake,NETN_LS,0,-0.002,DO_mgL,8.26,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/27/2011,Lake,NETN_LS,0,-0.002,DOsat_pct,95.9,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/27/2011,Lake,NETN_LS,0,-0.002,SpCond_uScm,30,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/27/2011,Lake,NETN_LS,0,-0.002,Temp_C,22.81,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/27/2011,Lake,NETN_LS,0,-0.002,Temp_F,73.058,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/27/2011,Lake,NETN_LS,0,-0.002,pH,6.61,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/23/2011,Lake,NETN_LS,0,0.5,DO_mgL,8.5,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/23/2011,Lake,NETN_LS,0,0.5,DOsat_pct,96.05,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/23/2011,Lake,NETN_LS,0,0.5,SpCond_uScm,31,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/23/2011,Lake,NETN_LS,0,0.5,Temp_C,21.4,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/23/2011,Lake,NETN_LS,0,0.5,Temp_F,70.52,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/23/2011,Lake,NETN_LS,0,0.5,pH,6.575,NA,NA
